"filename", "language", "C++", "YAML", "Markdown", "JSON", "Swift", "Dart", "HTML", "XML", "Gradle", "Properties", "Java", "comment", "blank", "total"
"c:\Users\ferna\development\flutter\gymapp\pubspec.yaml", "YAML", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 14, 111
"c:\Users\ferna\development\flutter\gymapp\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 16, 6, 60
"c:\Users\ferna\development\flutter\gymapp\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\ferna\development\flutter\gymapp\windows\flutter\generated_plugin_registrant.cc", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 30
"c:\Users\ferna\development\flutter\gymapp\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\ferna\development\flutter\gymapp\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\ferna\development\flutter\gymapp\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\ferna\development\flutter\gymapp\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\ferna\development\flutter\gymapp\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\ferna\development\flutter\gymapp\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\ferna\development\flutter\gymapp\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\ferna\development\flutter\gymapp\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\ferna\development\flutter\gymapp\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 557, 43, 5, 262, 68, 5481, 38, 464, 100, 8, 13, 315, 579, 7933
